id,title,date,region,category,price,url
https://www.rtpi.org.uk/events/2025/october/rtpi-apc-webinar-reflective-journal-october-2025/,RTPI APC Webinar: Reflective Journal - October 2025,21 Oct 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/october/rtpi-apc-webinar-reflective-journal-october-2025/
https://www.rtpi.org.uk/events/2025/october/technology-in-planning-and-the-built-environment/,Technology in planning and the built environment,21 Oct 2025,South West England,Conference,12,https://www.rtpi.org.uk/events/2025/october/technology-in-planning-and-the-built-environment/
https://www.rtpi.org.uk/events/2025/october/sustainability-and-the-delivery-of-developments/,Sustainability and the delivery of developments,22 Oct 2025,"South East England, West Midlands, London",Conference,42.50,https://www.rtpi.org.uk/events/2025/october/sustainability-and-the-delivery-of-developments/
https://www.rtpi.org.uk/events/2025/october/public-health-and-spatial-planning-celebrating-innovative-practice-in-the-north/,Public Health and Spatial Planning: Celebrating innovative practice in the North,22 Oct 2025,"Yorkshire, United Kingdom",Online,0,https://www.rtpi.org.uk/events/2025/october/public-health-and-spatial-planning-celebrating-innovative-practice-in-the-north/
https://www.rtpi.org.uk/events/2025/october/enforcement-update/,Enforcement Update,23 Oct 2025,North West England,Conference,30.00,https://www.rtpi.org.uk/events/2025/october/enforcement-update/
https://www.rtpi.org.uk/events/2025/october/innovative-community-engagement-in-planning-sustainable-places/,Innovative Community Engagement in Planning Sustainable Places:,23 Oct 2025,"London, East of England, South East England",Conference,Free,https://www.rtpi.org.uk/events/2025/october/innovative-community-engagement-in-planning-sustainable-places/
https://www.rtpi.org.uk/events/2025/october/apc-and-early-careers-seminar/,APC and Early Careers Seminar,30 Oct 2025,"Yorkshire, East Midlands",Updates,Free,https://www.rtpi.org.uk/events/2025/october/apc-and-early-careers-seminar/
https://www.rtpi.org.uk/events/2025/november/design-3/,Design 3,04 Nov 2025,North West England,Conference,30.00,https://www.rtpi.org.uk/events/2025/november/design-3/
https://www.rtpi.org.uk/events/2025/november/cpd-masterclass-project-management-for-planning/,CPD Masterclass - Project Management for Planning,05 Nov 2025,"National, Europe, United Kingdom, International",Training,225 + VAT,https://www.rtpi.org.uk/events/2025/november/cpd-masterclass-project-management-for-planning/
https://www.rtpi.org.uk/events/2025/november/collaborative-conversations-east-midlands-2025/,Collaborative Conversations East Midlands 2025,05 Nov 2025,East Midlands,Conference,0.00,https://www.rtpi.org.uk/events/2025/november/collaborative-conversations-east-midlands-2025/
